id;intitule;dt_creation;nb_heures_estimees;nb_heures_reelles
1;Chips;2020-09-29T16:53:02;82071;84937
2;application quantifying Future-proofed;2020-09-29T13:27:52;72690;100
3;silver program compress;2020-09-30T07:07:06;61057;32110
4;Turks and Caicos Islands Small Cotton Soap;2020-09-30T09:37:31;10922;22537
5;Place Germany wireless;2020-09-29T20:11:31;40820;50000
6;local Direct world-class;2020-09-29T23:15:19;8459;74054
7;Analyst Rubber;2020-09-29T16:36:31;75451;95467
8;Sleek navigate Shoes;2020-09-29T23:01:36;66017;1698
9;Home Loan Account Square embrace;2020-09-30T01:30:59;19795;40624
10;Cambridgeshire;2020-09-29T13:57:39;43963;38010
