id;nom;description;couleur
1;Consultant District override;withdrawal Security Handcrafted;Rubber India Yen
2;Wyoming PNG;deposit Tactics;Fresh Cheese grid-enabled
3;XML;Buckinghamshire;parallelism
4;Indian Rupee Ngultrum;Home Loan Account web-enabled;Fantastic Rubber Tuna Architect
5;Tasty Team-oriented innovative;Home Loan Account;bus
6;virtual connect;Gorgeous Checking Account;Estonia Technician
7;Executive;lime;auxiliary Fresh Intuitive
8;Intelligent Wooden Shirt Strategist;payment;generating
9;Extensions;quantify Customer Industrial;Designer
10;Metal silver;West Virginia;Tasty Soft Tuna SSL El Salvador Colon US Dollar
